title,year,budget,length,rating,votes
Adam Had Four Sons,1941,488000,81,6,70
Adventure,1945,3500000,135,5,101
After Sex,2000,5000000,96,4,182
Alias,2002,1500000,98,5,251
Alice,1990,12000000,102,6,1614
All the Real Girls,2003,1000000,108,6,1570
All the Vermeers in New York,1990,250000,87,5,122
Along Came Polly,2004,42000000,90,5,8524
Always,1989,29500000,106,6,4695
American Desi,2001,250000,100,6,272
American Gigolo,1980,4800000,117,5,2338
American Pie,1999,11000000,95,6,38891
American Wedding,2003,55000000,96,6,12281
And Baby Makes Three,1949,700000,84,4,20
Angel Eyes,2001,38000000,102,5,4492
Anna and the King,1999,75000000,148,6,6391
Annie Get Your Gun,1950,3768785,107,7,494
Annie Hall,1977,4000000,93,8,20358
Anthony Adverse,1936,1050500,141,6,188
Anything Else,2003,18000000,108,6,3209
Arch of Triumph,1948,5000000,120,5,153
Arthur,1981,7000000,97,6,4410
As Good as It Gets,1997,50000000,139,7,45835
At Close Range,1986,6500000,111,6,1536
At Long Last Love,1975,6000000,118,4,179
Atlantic City,1980,7200000,104,7,2278
Atlantida,2002,1000000,93,7,9
Autumn in New York,2000,40000000,103,4,3506
Baby Boy,2001,16000000,130,6,1391
Bandits,2001,80000000,123,6,11628
Barbary Coast,1935,778000,91,6,150
Barcelona,1994,3200000,101,6,1511
Barry Lyndon,1975,11000000,184,8,11303
Batman Forever,1995,100000000,122,5,22676
Batman Returns,1992,80000000,126,6,22542
Beach Party,1963,350000,101,5,217
Beat the Devil,1953,1000000,100,6,971
Beccerra,2002,3000,30,7,14
Before Sunrise,1995,2500000,105,7,8042
Before Sunset,2004,10000000,80,8,6302
Bells Are Ringing,1960,2203123,127,6,338
Beyond Borders,2003,35000000,127,5,1641
Bicentennial Man,1999,100000000,132,6,8274
Big Jim McLain,1952,826000,90,4,253
Bikini Beach,1964,600000,99,4,142
Birthday Girl,2001,13000000,93,6,4964
Blanche Fury,1947,1500000,90,6,66
Blast from the Past,1999,35000000,112,6,9003
Blind Husbands,1919,125000,68,7,73
Blue Crush,2002,30000000,104,5,4469
Blue Moon,1998,1000,90,7,22
Blue Skies,1946,3000000,104,6,152
Body of Evidence,1993,30000000,99,4,2486
Bonnie and Clyde,1967,2500000,111,7,12135
Boom Town,1940,2000000,119,6,285
Boomerang,1992,42000000,118,5,3311
Born to Be Bad,1934,252238,61,5,36
Bottle Rocket,1996,7000000,92,7,6773
Bounce,2000,35000000,106,5,5169
Boys and Girls,2000,16000000,94,4,3309
Braindead,1992,3000000,104,7,10810
Breaking All the Rules,1985,2032000,91,4,67
Breathing Room,1996,500000,90,4,38
Bridge of Dragons,1999,4000000,92,3,342
Brigadoon,1954,2352625,108,6,1083
Broken Blossoms,1919,88000,90,7,741
Brown Sugar,2002,8000000,109,5,874
Bruce Almighty,2003,81000000,101,6,21654
Bubble Boy,2001,13000000,84,5,2702
Bull Durham,1988,7000000,108,7,8067
Bullets Over Broadway,1994,20000000,98,7,6410
Bulworth,1998,30000000,108,6,7992
Camelot,1967,17000000,179,6,1162
Camille,1936,1486000,109,7,631
Captain Blood,1935,1200000,119,7,1549
Captain from Castile,1947,4500000,140,6,164
Carefree,1938,1253000,83,6,282
Casablanca,1942,950000,102,8,63449
Cat People,1942,134000,73,7,1165
Chacun cherche son chat,1996,300000,91,6,1048
Charade,1963,4000000,113,8,8620
Charly,2002,950000,103,5,141
Chasing Amy,1997,250000,111,7,30768
Ciao America,2002,5000000,100,4,26
City Lights,1931,1500000,87,8,7438
City of Angels,1998,55000000,114,6,14576
Claire of the Moon,1992,130000,107,3,202
Clash of the Titans,1981,15000000,118,6,3641
Cleopatra,1963,44000000,192,6,2456
Clueless,1995,20000000,97,6,15786
Cold Mountain,2003,83000000,152,7,13960
Color of Night,1994,40000000,121,4,4389
Coming to America,1988,28000000,116,6,12292
Commandments,1997,5000000,88,5,452
Conspiracy Theory,1997,75000000,135,6,14684
Cool as Ice,1991,6000000,100,2,1249
Coyote Ugly,2000,45000000,100,5,12480
Crossroads,2002,12000000,93,3,8011
Cruel Intentions,1999,11000000,97,6,24091
Cutthroat Island,1995,92000000,119,5,3735
Dancing Lady,1933,923055,92,6,162
Dangerous Liaisons,1988,14000000,119,7,12071
Dark Command,1940,1000000,94,6,281
Days of Thunder,1990,60000000,107,5,9182
Desperado,1995,7000000,106,6,16764
Desperately Seeking Susan,1985,4500000,104,5,4678
Devil Dogs of the Air,1935,350000,85,5,40
Dinner at Eight,1933,435000,113,7,936
Doctor Zhivago,1965,11000000,197,7,9774
Don Juan DeMarco,1995,25000000,97,6,6384
Down to Earth,2001,30000000,87,5,3494
Down to You,2000,9000000,91,4,3087
Dracula,1992,40000000,128,7,18750
Dragonwyck,1946,1900000,103,6,201
Drive Me Crazy,1999,8000000,91,5,2789
Drumline,2002,20000000,118,5,6735
Easter Parade,1948,2503654,107,7,888
Edward Scissorhands,1990,20000000,105,7,24869
El Cid,1961,8000000,182,7,1331
Ella Enchanted,2004,35000000,96,6,2042
Emma,1996,6000000,121,6,6166
Enemy at the Gates,2001,70000000,131,7,17853
Entrapment,1999,66000000,113,6,17568
Eternal Sunshine of the Spotless Mind,2004,20000000,108,8,36913
Even Cowgirls Get the Blues,1993,8000000,101,4,1524
Ever After,1998,26000000,121,7,9759
Evergon,2002,20000,32,7,21
Everyone Says I Love You,1996,20000000,101,6,7028
Expiration,2003,50000,102,6,198
Fall,1997,1000000,93,5,470
Far and Away,1992,30000000,140,6,8045
Far from Heaven,2002,13500000,107,7,8597
Fast Food High,2003,4500000,92,5,17
First Knight,1995,75000000,134,5,8278
Flying Down to Rio,1933,462000,89,6,365
Follow the Fleet,1936,747000,110,7,338
Footlight Parade,1933,703000,104,7,363
For Love of the Game,1999,50000000,137,6,5515
For Me and My Gal,1942,802000,104,6,299
For Whom the Bell Tolls,1943,3000000,170,7,1002
Foreign Correspondents,1999,500000,102,7,113
Four Weddings and a Funeral,1994,6000000,117,7,16981
From Here to Eternity,1953,1650000,118,7,5692
From Justin to Kelly,2003,12000000,81,1,6626
Full Frontal,2002,2000000,101,5,2879
Funny Face,1957,3000000,103,7,1550
Funny Girl,1968,14100000,151,7,1668
Garden State,2004,2500000,109,8,17799
Get Over It,2001,10000000,87,5,3350
Ghost,1990,22000000,128,6,18039
Gigi,1958,3319355,119,7,1835
Gigli,2003,54000000,121,2,11233
Glitter,2001,22000000,104,2,5649
Go Fish,1994,15000,84,5,592
Goat on Fire and Smiling Fish,1999,40000,90,6,248
Golden Earrings,1947,1000000,95,6,115
Gone with the Wind,1939,3900000,238,8,27414
Good News,1947,1662718,93,7,199
Grand Hotel,1932,700000,112,7,1676
Grease,1978,6000000,110,6,21077
Green Fields,1937,8000,99,6,25
Grosse Pointe Blank,1997,15000000,107,7,19562
Grumpier Old Men,1995,25000000,101,6,3515
Guinevere,1999,2600000,104,6,769
Gun Shy,2000,10000000,101,5,1609
Guys and Dolls,1955,5500000,150,7,1853
Hamlet,1996,18000000,242,7,9715
Hannah and Her Sisters,1986,6400000,103,7,7229
Harold and Maude,1971,1200000,91,7,8730
Harvard Man,2001,5500000,99,4,1074
Hatred of a Minute,2002,300000,83,5,86
Head Over Heels,2001,14000000,86,4,2491
Heartbreakers,2001,40000000,123,6,7563
Heavenly Creatures,1994,5000000,99,7,10881
Here on Earth,2000,15000000,96,4,2078
High Fidelity,2000,20000000,113,7,28218
Hold Your Man,1933,260000,87,6,148
