title,year,budget,length,rating,votes
Aida degli alberi,2001,7000000,75,4,16
Aladdin,1992,28000000,90,7,21100
Alice in Wonderland,1951,3000000,75,7,4202
Anastasia,1997,53000000,94,6,4633
Antz,1998,60000000,87,7,15539
Avalon,2001,8000000,106,6,2507
Bedknobs and Broomsticks,1971,20000000,117,6,2437
Chicken Run,2000,42000000,84,7,24119
Cinderella,1950,2900000,74,7,5197
Destino,2003,1500000,7,7,140
Dinosaur,2000,127500000,82,6,5554
Dumbo,1941,950000,64,7,6266
Fantasia,1940,2280000,120,7,14275
Fritz the Cat,1972,1000000,78,5,1046
Gallavants,1984,5000000,100,8,9
Garfield,2004,50000000,80,4,4022
Heavy Metal,1981,9300000,86,6,4386
Hercules,1997,70000000,92,6,4946
Home on the Range,2004,110000000,76,5,1237
Ice Age,2002,60000000,81,7,20471
Invitation to the Dance,1956,1500000,93,6,77
James and the Giant Peach,1996,38000000,79,6,2935
Lady and the Tramp,1955,4000000,75,7,6620
Meet the Feebles,1989,750000,94,6,3578
Metoroporisu,2001,14500000,108,7,3126
Monkeybone,2001,75000000,92,4,2929
Mulan,1998,70000000,88,7,10497
Mutant Aliens,2001,200000,81,6,207
One Hundred and One Dalmatians,1961,4000000,79,7,5609
Osmosis Jones,2001,75000000,95,6,3195
Peter Pan,1953,4000000,76,7,4588
Pinocchio,1940,2600000,88,7,6272
Plane Crazy,1928,3528,6,7,54
Plug,1998,12000,11,6,28
Pocahontas,1995,55000000,81,5,6022
Quest for Camelot,1998,40000000,86,5,908
Return to Never Land,2002,20000000,72,5,933
Robin Hood,1973,15000000,83,7,3091
Shark Tale,2004,75000000,90,5,4925
Shrek,2001,60000000,90,8,60989
Sleeping Beauty,1959,6000000,75,7,5490
Snow White and the Seven Dwarfs,1937,1488000,83,7,13546
Space Jam,1996,80000000,87,5,7480
Steamboat Willie,1928,4986,8,7,358
Steamboy,2004,20000000,126,6,132
Superman,1941,100000,10,7,134
Sztuka spadania,2004,100000,6,8,34
Tarzan,1999,150000000,88,7,10212
Three Little Pigs,1933,15720,8,7,221
Toy Story,1995,30000000,81,7,43795
Treasure Planet,2002,140000000,95,6,3488
Victory Through Air Power,1943,788000,65,7,61
Who Framed Roger Rabbit,1988,70000000,103,7,20313
Your Face,1987,2000,3,7,100
