title,year,budget,length,rating,votes
Abandon,2002,25000000,99,4,2179
Abbott and Costello Go to Mars,1953,754000,77,5,331
Abbott and Costello Meet Captain Kidd,1952,450000,70,5,150
About a Boy,2002,27000000,101,7,16946
About Schmidt,2002,30000000,125,7,21547
Abschied,1930,15000,80,6,14
Absolute Power,1997,50000000,121,6,7580
Accident,1967,600000,105,7,319
Ace in the Hole,1951,1821052,111,7,1032
Across the Wide Missouri,1951,5000000,78,6,196
Across to Singapore,1928,290000,86,6,53
Acts of Betrayal,1997,3000000,90,4,88
Adam Had Four Sons,1941,488000,81,6,70
Adventure,1945,3500000,135,5,101
Affliction,1997,6000000,114,6,3526
After Hours,1985,4500000,96,7,5187
After Midnight,1989,3000000,90,5,150
After Sex,2000,5000000,96,4,182
After the Sunset,2004,58000000,97,5,1332
Age of Innocence,1977,850000,101,6,46
Agent Cody Banks,2003,26000000,102,5,2386
Agent on Ice,1985,2500000,96,4,15
Aida degli alberi,2001,7000000,75,4,16
Air Bud,1997,3000000,98,4,1192
Air Force One,1997,85000000,124,6,24977
Airborne,1993,2600000,91,5,991
Airmail,1932,305000,84,6,72
Airport,1970,10000000,137,6,2762
Akasha,2001,1500,82,7,26
Aladdin,1992,28000000,90,7,21100
Albino Alligator,1996,5000000,97,6,1962
Alexander,2004,150000000,175,5,8434
Alfie,2004,60000000,103,5,1681
Ali,2001,107000000,159,6,8554
Alias,2002,1500000,98,5,251
Alice,1990,12000000,102,6,1614
Alice in Wonderland,1951,3000000,75,7,4202
Alien,1979,11000000,117,8,60105
Alien Dead,1980,12000,69,2,103
Alien Escape,1997,1000000,85,5,23
Alien Nation,1988,16000000,91,6,2076
Aliens,1986,18500000,137,8,61684
Alive,1993,32000000,127,6,5480
All About the Benjamins,2002,14000000,95,5,1146
All Quiet on the Western Front,1930,1200000,131,8,6506
All the Pretty Horses,2000,45000000,116,5,3010
All the Real Girls,2003,1000000,108,6,1570
All the Vermeers in New York,1990,250000,87,5,122
All Through the Night,1942,750000,107,6,345
Alligator,1980,1000000,89,5,964
Almost Famous,2000,60000000,122,8,36619
Almost You,1985,1000000,96,4,42
Along Came a Spider,2001,28000000,104,6,8965
Along Came Polly,2004,42000000,90,5,8524
Along for the Ride,2000,150000,99,7,12
Always,1989,29500000,106,6,4695
Amadeus,1984,18000000,180,8,35154
Ame agaru,1999,3800000,91,7,410
American Beauty,1999,15000000,122,8,105100
American Desi,2001,250000,100,6,272
American Gigolo,1980,4800000,117,5,2338
American Graffiti,1973,777000,110,7,12133
American History X,1998,10000000,119,8,55449
American Me,1992,16000000,125,6,648
American Outlaws,2001,35000000,94,5,2686
American Pie,1999,11000000,95,6,38891
American Psycho,2000,8000000,101,6,20127
American Raspberry,1977,50000,75,5,16
American Wedding,2003,55000000,96,6,12281
Amistad,1997,40000000,152,7,9950
Amores perros,2000,2000000,153,8,13796
Anaconda,1997,35000000,89,4,9893
Analyze This,1999,30000000,103,6,23258
Anastasia,1997,53000000,94,6,4633
And Baby Makes Three,1949,700000,84,4,20
And Now for Something Completely Different,1971,100000,85,7,3276
And Then Came Summer,2000,2300,115,4,51
Andy,1985,125000,73,8,9
Angel Eyes,2001,38000000,102,5,4492
Angel Heart,1987,17000000,113,7,7853
Animal House,1978,3000000,109,7,16919
Ann Vickers,1933,303000,76,6,45
Anna and the King,1999,75000000,148,6,6391
Anna Christie,1930,376000,89,6,225
Anna Karenina,1935,1152000,95,7,445
Annie,1982,50000000,126,5,3285
Annie Get Your Gun,1950,3768785,107,7,494
Annie Hall,1977,4000000,93,8,20358
Another Language,1933,272297,77,6,12
Another Woman,1988,10000000,84,7,1302
Anthony Adverse,1936,1050500,141,6,188
Anthrax,2001,2500000,90,4,47
Antikiller,2002,5000000,114,5,210
Antitrust,2001,30000000,108,6,6950
Antony and Cleopatra,1972,1600000,138,4,81
Antwone Fisher,2002,12500000,120,7,4101
Antz,1998,60000000,87,7,15539
Any Given Sunday,1999,62000000,150,6,18420
Any Number Can Play,1949,1465641,112,6,61
Anything Else,2003,18000000,108,6,3209
Anything Goes,1936,1100000,92,5,38
Anywhere But Here,1999,23000000,114,5,3800
Apache Woman,1955,80000,69,3,19
Aparte,2002,90000,91,8,22
Apocalypse Now,1979,31500000,153,8,61240
Apt Pupil,1998,14000000,111,6,6391
Arachnophobia,1990,31000000,103,6,8203
Arch of Triumph,1948,5000000,120,5,153
Are These Our Children,1931,400000,84,6,25
Arizona,1940,2000000,121,6,63
Arlington Road,1999,21500000,117,7,16340
Armageddon,1998,140000000,150,5,43146
Armed Response,1986,1500000,86,4,67
Army of Darkness,1993,11000000,81,7,20913
Around the World in Eighty Days,1956,6000000,183,6,2472
Arthur,1981,7000000,97,6,4410
Artists and Models,1955,1500000,109,6,410
As Good as It Gets,1997,50000000,139,7,45835
As You Desire Me,1932,460733,70,5,104
Asburied,2002,2000,8,8,7
Asesino en serio,2002,2500000,84,6,77
Assassins,1995,50000000,132,5,6908
Assault of the Killer Bimbos,1988,250000,85,3,146
Aswang,1994,70000,82,4,77
At Close Range,1986,6500000,111,6,1536
At First Sight,1999,40000000,128,5,3290
At Long Last Love,1975,6000000,118,4,179
At Night with No Curtains,2004,8000,87,1,22
Atlantic City,1980,7200000,104,7,2278
Atlantida,2002,1000000,93,7,9
Atlas,1961,70000,79,4,24
Atrapados,1999,3500,26,9,6
Attack of the Crab Monsters,1957,70000,62,3,195
Attack of the Giant Leeches,1959,70000,62,2,382
Aura,2002,19000,22,9,5
Austin Powers in Goldmember,2002,63000000,94,6,21345
